,inventory,inventory size,count
0,"s, sˀ",2,3
1,"s, sʲ",2,7
2,"s, s͈, ʃ, ʃʷ, ʃ͈, ʃ͈ʷ",6,1
3,"s̻, ʃ, ʃʼ",3,1
4,"s, ʃ",2,658
5,"s, ʂ, ʃ",3,68
6,"s̪, s̪ː",2,1
7,ʂ,1,10
8,s,1,969
9,"s, ʂ",2,42
10,ʃ,1,53
11,"s, sʰ, ʃ",3,6
12,s̻,1,4
13,"ʂ, ʃ",2,8
14,"s, sː",2,16
15,"s̻, s̻ː, ʃ, ʃː",4,2
16,"s̻, ʃ",2,5
17,"s, s͈ː, ʃ, ʃ͈ː",4,1
18,"s, sˀ, sː",3,1
19,"s, sʼ, ʃ, ʃʼ",4,3
20,"s, sː, s̻, ʃ, ʃː",5,1
21,"s, s̪",2,4
22,"s, sː, ʃ, ʃː",4,28
23,"s, sʰ, sʼ, ʃ",4,1
24,"s, ʃ, ʃʲ",3,2
25,"s, s̻",2,1
26,"s, sˤ, s͈ː, ʃ, ʃ͈ː",5,1
27,"s, sˀ, ʃ",3,2
28,"s, sː, ʃ",3,15
29,"s, sʼ, sʼː, sː, ʃ, ʃː",6,2
30,"s, sː, sˤ, sˤː, ʃ, ʃː",6,2
31,"sˤ, sˤː, s̪, s̪ː, ʃ, ʃː",6,1
32,"s, s͉, ʃ, ʃ͉",4,3
33,"s, ʃ, ʃʷ",3,9
34,"s̻, ʃʲ",2,1
35,"s, sʲ, ʃˠ",3,1
36,"s, sʲ, ʃ",3,5
37,"s, sʲ, ʃ, ʃʲ",4,4
38,"s, ʃʲ",2,3
39,"s̻, s̻ː, ʂ",3,1
40,"s, sː, ʂ, ʃː",4,1
41,"s̻, ʂ, ʃ",3,1
42,sʲ,1,1
43,s̪|s,1,61
44,"s̪, ʃ",2,41
45,"s̪|s, s̪ʷ|sʷ, ʃ",3,2
46,"s̪|s, s̪ʷ|sʷ, s̪ʷː|sʷː, s̪ː|sː, ʃ, ʃʷ, ʃʷː, ʃː",8,1
47,"s̪|s, ʃ",2,46
48,"s̪, s̪ˤ, ʃ",3,3
49,"s̪|s, s̪ː|sː, ʃ, ʃː",4,1
50,"s̪, ɕ",2,5
51,"s̪|s, ʂ, ʃ",3,3
52,"s̪, s̪ʲ, ʃ",3,1
53,s̪,1,19
54,"s̪|s, ɕ, ʃ",3,1
55,s̪ʲ|sʲ,1,1
56,"s̪|s, ʂ",2,2
57,"s̪|s, s̪ʲ|sʲ, ɕ",3,1
58,"s̪, ʂ, ʃ",3,4
59,ɕ,1,13
60,"s̪|s, ɕ",2,1
61,"s̪, ʃ, ʃʼ",3,1
62,"s̪|s, s̪ʲ|sʲ",2,3
63,"s̪, s̪ʼ, ɕʼ, ʂ, ʂʼ, ʃ",6,1
64,"sˤ, s̪, ʃ",3,3
65,"s̪, s̪ˀ",2,1
